paper_id,final_decision
de7c20d08bbe,include
2b18608f6860,include
e4ff7159708b,include
ff46fac9e8e5,include
822dbee7acfe,include
81f92de64876,include
090ce79070cb,include
bb719c33a7f1,include
3fe31dea1f88,include
c1358ec0f6a6,include
146a99b9b311,include
f570d95b26f4,include
c70ae91a70de,include
539aec92356c,include
fbec16f60f72,include
683bece8f94d,include
d8015cdf389e,include
b69e5fca1ee6,include
4b22c753a5a4,include
fddc282dba6f,include
b5820c538b42,include
40e4c7fdd4ac,include
c57f6422ed7b,include
c233bf88de0f,include
1b7d8c497d7d,include
55496bcdeaa7,include
a0bb411d1801,include
11ff02556b47,include
6377e377053e,include
f93112e0b03a,include
c065a97bd065,include
0eb7690657f2,include
c0fc8b113e0f,include
82475e54c193,include
645e6ec4f04e,include
88e005f67ca2,include
c6d03068fd05,include
5081ec6b6068,include
fecff5249e72,include
69a4901976a9,include
c4e919f71785,include
6e5c81beaefd,include
7383abb7624d,include
01877ad38ab2,include
560d9d98e1cf,include
99d3efa89dee,include
148be08400da,include
9bc9b29fc6af,include
0cfd33edfd1a,include
33968c404556,include
852010d3745d,include
2e9f88ec6794,include
99b07636e459,include
61102309a95a,include
06fdf18c23c4,include
58f4450b9cce,include
18e20fb363bd,include
dfe7c7ebfb9f,include
49463c91e93f,include
0a1f9315f6a7,include
ba8b763050ae,include
21611a37dd85,include
9b55a2fa0cd5,include
ff36740b3b52,include
a052f266d945,include
107e6a53aff5,include
dd6bbf2bf180,include
ba792b0b6f24,include
2a646809136c,include
58a29f9f57a7,include
58470ab028ef,include
f362fd204c2b,include
ad79bfb0cfd8,include
67ed9d74dd96,include
8f4819f14c13,include
acc55c7d6a2a,include
cf0d84ba3b6a,include
57ed01f77bc6,include
9352e26d9232,include
58f18c1145e8,include
5767f4e56980,include
b53810c19fef,include
7c5f50a7c9b3,include
ea4b39301625,include
381642996201,include
b9bbd2d099f0,include
378c2a73ea46,include
c6422717f546,include
c7b77a40d1ea,include
5b6f77b75bb0,include
c0d24cf1b7ed,include
740dd8fa35a7,include
76ee9fd77e4e,include
38f680153dba,include
66f18ee7b813,include
50989fdc9ad1,include
8d89573f79ab,include
55400536a64e,include
5eeda9c337d5,include
6534fbda7b00,include
73354a077283,include
1b74322cf6a1,include
963ca4c12a61,include
39290e564de1,include
b8dcb2e989c2,include
2cfd7c834099,include
d7449b1ba0c5,include
082f292f8c48,include
bf12463fd336,include
9aa8ee9654b4,include
320a8a288a8a,include
d300ac850bd9,include
cb8d976cb90c,include
ed0de8d44eff,include
3bf7bbec10c5,include
00c3aaba39ac,include
845689734409,include
7ea4faff382d,include
ae51e00743b2,include
b76db96a4af5,include
4dbaf2b286bf,include
66f43397ba83,include
9781ec456ae3,include
251a3166cf94,include
cf15566d165b,include
cab849abe702,include
72a191fd2f47,include
313a1d740d27,include
f3c77d3e6ee0,include
e8333614ccce,include
f55fea197b67,include
914ea9b006b5,include
c0da85ef2954,include
696468237383,include
6f13a872dc05,include
f3e7e42dd0ca,include
2132024206c3,include
cd65ce239abf,include
e2577edb2965,include
a254eea1f1d3,include
4ee4d5f63858,include
