paper_id,ai_decision,ai_rank,ai_confidence
726829eb320c,include,155,0.6614
21d2dd64ba20,include,156,0.6614
7e636e790901,include,157,0.6614
d20f778b186e,include,158,0.6614
f3a41b21a780,include,159,0.6614
3a13b1eecbf9,include,160,0.6614
5f49b8e8a7fb,include,161,0.6614
6ce12ea7c2bf,include,162,0.6614
01877ad38ab2,include,163,0.6613
081dbc9360d1,include,164,0.6613
70217d6e8f7f,include,165,0.6613
cde7374bcb27,include,166,0.6613
7f0f52d2eab9,include,167,0.6613
59cca9744140,include,168,0.6613
b610c2e71d58,include,169,0.6613
f626b9a196e3,include,170,0.6613
c91a2002db67,include,171,0.6613
8c9ba2aeaa90,include,172,0.6612
b71633628d4e,include,173,0.6612
6a74d8dcc848,include,174,0.6612
ca145b1d8626,include,175,0.6612
4d4ca23d6730,include,176,0.6611
96baad0b46a9,include,177,0.6611
0f8e97542866,include,178,0.6611
daa0cf93fe89,include,179,0.6611
c1aa6c306cde,include,180,0.6611
815859d7a871,include,181,0.6611
35da1ebe30e2,include,182,0.6610
653f44f966be,include,183,0.6610
13cafedeef93,include,184,0.6610
0d323d979460,include,185,0.6610
32f2ed40d0f3,include,186,0.6610
9150dabd3035,include,187,0.6610
34f592e33460,include,188,0.6610
922d5773e536,include,189,0.6610
031fe9392130,include,190,0.6610
a85f52d4b8a6,include,191,0.6610
993b4e035b55,include,192,0.6610
5616d77df974,include,193,0.6609
46e7ba2644ce,include,194,0.6609
b7c9696b8ffc,include,195,0.6609
780d0ece201c,include,196,0.6609
bf5b5ef25a6f,include,197,0.6609
10e947e4e6c8,include,198,0.6609
ef5089b10216,include,199,0.6609
ef9db5fc8faa,include,200,0.6609
881dd9b94148,include,201,0.6609
1cd3094a1c92,include,202,0.6608
cbddc421f88f,include,203,0.6608
48c02de7e75d,include,204,0.6608
edb544e8970c,include,205,0.6608
e1ab375ffe44,include,206,0.6608
7ede4c3f9492,include,207,0.6608
67f83161d410,include,208,0.6607
0a824fa99e38,include,209,0.6607
